année,country,Automne_tavg,Hiver_tavg,Printemps_tavg,Été_tavg,Automne_tmax,Hiver_tmax,Printemps_tmax,Été_tmax,Automne_tmin,Hiver_tmin,Printemps_tmin,Été_tmin
2018,Abkhazia,13.334065934065935,5.472727272727273,,23.86774193548387,16.61758241758242,7.363636363636363,,26.29516129032258,10.782417582417583,3.9818181818181815,,21.241935483870968
2018,Aland Islands,5.0758241758241756,-3.3011111111111116,8.217777777777778,16.803260869565218,7.065934065934066,-0.8300000000000001,12.783333333333333,20.567391304347826,2.32967032967033,-6.3244444444444445,2.7866666666666666,11.632608695652175
2018,Albania,14.172527472527474,8.912222222222223,19.203260869565216,24.629347826086956,22.204395604395604,14.842222222222222,26.494565217391305,32.40869565217391,7.606593406593407,3.8666666666666667,13.041304347826086,18.284782608695654
2018,Algeria,18.91318681318681,14.291111111111112,17.98913043478261,25.53478260869565,22.908791208791207,17.397752808988763,22.144943820224718,31.440449438202243,15.114285714285716,11.103333333333333,15.207608695652173,23.06413043478261
2018,American Samoa,27.45054945054945,27.53777777777778,27.29891304347826,26.405434782608697,29.77912087912088,30.164444444444445,29.804347826086957,28.703260869565216,25.326373626373623,25.121111111111112,25.043478260869566,24.36195652173913
2018,Angola,26.186813186813186,27.42666666666667,26.853932584269664,22.75978260869565,29.370329670329667,30.836619718309862,31.570833333333336,25.875,23.91978021978022,24.58153846153846,24.38421052631579,20.083823529411767
2018,Anguilla,27.186813186813186,25.16296296296296,26.60705882352941,28.322222222222223,29.537362637362637,27.562962962962963,29.02470588235294,30.89,25.184615384615388,23.116666666666667,24.738823529411768,26.275555555555556
2018,Antigua and Barbuda,26.196703296703298,24.97837837837838,26.120895522388057,27.504545454545454,28.83186813186813,27.435135135135134,28.52089552238806,29.92159090909091,24.113186813186815,22.9472972972973,23.900000000000002,25.45681818181818
2018,Argentina,19.12857142857143,24.11,17.090217391304346,12.015217391304349,23.979120879120877,28.74756097560976,20.86043956043956,15.73804347826087,15.272527472527472,20.273333333333333,14.152173913043478,8.863043478260868
2018,Aruba,27.763736263736263,26.854285714285712,28.02876712328767,28.50344827586207,30.185714285714287,29.89714285714286,31.13424657534247,31.373563218390803,25.71978021978022,24.69142857142857,26.068493150684933,26.701149425287355
2018,Austria,10.343956043956043,3.411111111111111,17.622826086956522,23.22826086956522,13.105494505494505,5.964444444444444,23.52608695652174,28.28478260869565,7.8901098901098905,1.2533333333333334,12.893478260869566,19.02282608695652
2018,Azerbaijan,13.518681318681319,5.739772727272728,16.14945054945055,26.53369565217391,16.35164835164835,8.260227272727272,21.14395604395604,31.224999999999998,10.58021978021978,3.4909090909090907,11.343956043956043,21.889130434782608
2018,Bahamas,25.857142857142858,23.12,25.717391304347824,28.293478260869566,30.063736263736267,27.414473684210527,29.62083333333333,32.55232558139535,22.256043956043957,19.42763157894737,22.256944444444443,24.569767441860463
2018,Bahrain,27.064835164835166,19.80111111111111,30.05217391304348,35.09782608695652,29.980219780219777,23.491011235955053,34.41910112359551,39.266304347826086,24.602197802197804,16.762921348314606,26.637078651685396,32.05326086956522
2018,Bangladesh,25.197802197802197,21.296666666666667,27.455434782608698,29.229347826086954,29.896703296703297,27.85056179775281,32.431868131868136,32.513043478260876,21.494505494505493,16.296666666666667,23.461363636363636,26.834782608695654
2018,Barbados,27.347252747252746,25.832222222222224,26.63409090909091,27.81590909090909,29.985714285714284,28.777464788732395,29.781012658227844,30.45795454545454,25.045054945054943,23.471830985915492,24.537974683544302,25.572727272727274
2018,Belarus,4.398901098901099,-2.7311111111111113,15.216304347826087,19.993478260869566,7.540659340659341,-0.6820224719101123,19.58913043478261,25.157608695652176,1.7802197802197801,-5.187640449438202,8.828260869565218,15.367391304347825
2018,Belgium,9.574725274725274,4.221111111111111,14.61304347826087,19.91521739130435,13.124175824175824,7.0488888888888885,19.382608695652173,25.059782608695652,6.4252747252747255,1.7088888888888891,10.145652173913044,15.036956521739132
2018,Benin,27.77142857142857,28.345454545454547,27.92391304347826,26.00326086956522,31.094805194805197,31.853571428571428,31.003076923076925,28.404000000000003,24.7125,24.91969696969697,24.181250000000002,24.3
2018,Bermuda,22.49120879120879,18.413333333333334,21.747826086956522,26.706521739130434,24.894505494505495,20.934831460674157,24.25824175824176,28.981318681318683,19.724175824175827,15.764044943820224,19.1010989010989,24.187912087912085
2018,Bouvet Island,-1.0769230769230769,0.00909090909090911,,-2.6516129032258067,-0.04285714285714286,0.5454545454545454,,-1.1741935483870967,-2.1285714285714286,-0.7727272727272727,,-4.183870967741935
2018,British Virgin Islands,26.79230769230769,25.70909090909091,,27.975806451612904,30.105494505494505,29.145454545454548,,31.325806451612905,24.4989010989011,23.327272727272728,,25.57741935483871
2018,Brunei,27.723076923076924,27.028888888888886,28.029347826086955,27.925,31.996703296703295,30.925581395348836,32.157303370786515,32.81910112359551,23.480219780219777,23.39325842696629,24.151648351648355,23.62247191011236
2018,Burkina Faso,30.016483516483518,29.395555555555553,33.9804347826087,29.008695652173916,36.863736263736264,37.45822784810127,40.52117647058824,33.58791208791209,23.653846153846153,21.505797101449275,28.333333333333332,24.99411764705882
2018,Cambodia,28.286813186813188,27.783333333333335,28.981521739130436,28.12173913043478,31.756043956043957,31.6,32.126315789473686,32.25555555555555,24.63736263736264,23.288709677419355,24.733333333333334,24.77802197802198
2018,Canada,2.028571428571429,-6.552222222222222,10.193478260869565,21.24021739130435,5.802197802197802,-1.951111111111111,15.691304347826087,27.054347826086957,-1.7505494505494508,-11.116666666666667,4.692391304347826,15.408695652173913
