Country,Country Code,Inbound arrivals of tourists_2013,Inbound arrivals of tourists_2014,Inbound arrivals of tourists_2015,Inbound arrivals of tourists_2016,Inbound arrivals of tourists_2017,Inbound arrivals of tourists_2018,Inbound arrivals of tourists_2019,Inbound arrivals of tourists_2020,Inbound arrivals of tourists_2021,Inbound arrivals of tourists_2022
Curacao,CUW,224000.0,224000.0,224000.0,224000.0,224000.0,224000.0,224000.0,224000.0,224000.0,224000.0
Cyprus,CYP,2100000.0,2100000.0,2100000.0,2100000.0,2100000.0,2100000.0,2100000.0,2100000.0,2100000.0,2100000.0
Czechia,CZE,3381000.0,3381000.0,3381000.0,3381000.0,3381000.0,3381000.0,3381000.0,3381000.0,3381000.0,3381000.0
Democratic Republic of Congo,COD,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0
Denmark,DNK,2125000.0,2125000.0,2125000.0,2125000.0,2125000.0,2125000.0,2125000.0,2125000.0,2125000.0,2125000.0
Djibouti,DJI,21000.0,21000.0,21000.0,21000.0,21000.0,21000.0,21000.0,21000.0,21000.0,21000.0
Dominica,DMA,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0
Dominican Republic,DOM,1776000.0,1776000.0,1776000.0,1776000.0,1776000.0,1776000.0,1776000.0,1776000.0,1776000.0,1776000.0
East Timor,TLS,14000.0,14000.0,14000.0,14000.0,14000.0,14000.0,14000.0,14000.0,14000.0,14000.0
Egypt,EGY,2871000.0,2871000.0,2871000.0,2871000.0,2871000.0,2871000.0,2871000.0,2871000.0,2871000.0,2871000.0
El Salvador,SLV,235000.0,235000.0,235000.0,235000.0,235000.0,235000.0,235000.0,235000.0,235000.0,235000.0
Estonia,EST,530000.0,530000.0,530000.0,530000.0,530000.0,530000.0,530000.0,530000.0,530000.0,530000.0
Eswatini,SWZ,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0
Ethiopia,ETH,103000.0,103000.0,103000.0,103000.0,103000.0,103000.0,103000.0,103000.0,103000.0,103000.0
Fiji,FJI,318000.0,318000.0,318000.0,318000.0,318000.0,318000.0,318000.0,318000.0,318000.0,318000.0
Finland,FIN,1779000.0,1779000.0,1779000.0,1779000.0,1779000.0,1779000.0,1779000.0,1779000.0,1779000.0,1779000.0
France,FRA,60033000.0,60033000.0,60033000.0,60033000.0,60033000.0,60033000.0,60033000.0,60033000.0,60033000.0,60033000.0
French Guiana,GUF,68000.0,68000.0,68000.0,68000.0,68000.0,68000.0,68000.0,68000.0,68000.0,68000.0
French Polynesia,PYF,172000.0,172000.0,172000.0,172000.0,172000.0,172000.0,172000.0,172000.0,172000.0,172000.0
Gabon,GAB,125000.0,125000.0,125000.0,125000.0,125000.0,125000.0,125000.0,125000.0,125000.0,125000.0
