Country,Country Code,Series,Series Code,2002 [2002],2003 [2003],2004 [2004],2005 [2005],2006 [2006],2007 [2007],2008 [2008],2009 [2009],2010 [2010],2011 [2011],2012 [2012],2013 [2013],2014 [2014],2015 [2015],2016 [2016],2017 [2017],2018 [2018],2019 [2019],2020 [2020],2021 [2021],2022 [2022]
Burundi,BDI,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cambodia,KHM,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cameroon,CMR,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Canada,CAN,"Unemployment rate,Percent,,,",UNEMPSA_,7.68333333333,7.59166666667,7.15,6.75,6.45,6.15833333333,6.30833333333,8.45833333333,8.14166666667,7.61666666667,7.40833333333,7.175,7.03333333333,6.95,7.03333333333,6.40833333333,5.85,5.7,9.725,7.48333333333,5.26666666667
Cape Verde,CPV,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cayman Islands,CYM,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Central African Republic,CAF,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chad,TCD,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,..,..,..,..,..,..,8.53510592805,7.3730293282,6.64652779289,6.12404304125,6.42476024565,6.39490964863,6.6407697672,6.93660524067,7.33973135668,7.2267115124,10.54111707143,9.1187477477,7.81148200087
China,CHN,"Unemployment rate,Percent,,,",UNEMPSA_,3.85139492851,4.20135764077,4.25093076566,4.2005789129,4.15019826942,4.04965868474,4.04951220272,4.29934038562,4.14962199234,4.09985840369,4.09977288406,4.07190923195,4.07905556097,4.0465793065,4.03600743655,3.94086130229,3.83267001527,3.62591316235,3.97891221394,3.91006408493,..
Colombia,COL,"Unemployment rate,Percent,,,",UNEMPSA_,15.67144179712,14.07279270375,13.61259041595,11.82127733309,12.09886241057,11.28752940333,11.40321464548,12.24319680988,12.01003540617,11.04387647351,10.63498058554,9.8867995747,9.40412191797,9.19844390353,9.54255228907,9.67269259452,9.98902272898,10.90106014869,16.73068142281,13.75468990731,11.18562325502
Commodity-exporting EMDE,EDE,"Unemployment rate,Percent,,,",UNEMPSA_,..,12.22131940545,11.10148579893,10.25879222361,9.75822885537,8.85392708807,8.69962382274,9.82183999341,9.51270906992,8.95575061694,8.39869536485,8.22755409256,8.00743985101,8.6096719655,9.89202555973,10.35715708528,10.13199223897,10.2099030704,12.24845344462,11.72292198838,9.43649265921
Commodity-importing EMDE,EDI,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,8.05122756327,7.85907765247,6.80469110667,6.09028811506,6.00656633223,6.84582092322,6.68342827202,6.65038962554,6.61260569414,6.84793202877,6.75057399116,6.52101319317,6.39620040432,6.14012278209,5.67114457512,5.85512229341,6.95525394291,6.26512747669,5.3307826132
Commodity-importing EMDE excluding China,EDX,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,8.05122756327,7.85907765247,6.80469110667,6.09028811506,6.00656633223,6.84582092322,6.68342827202,6.65038962554,6.61260569414,6.84793202877,6.75057399116,6.52101319317,6.39620040432,6.14012278209,5.67114457512,5.85512229341,6.95525394291,6.26512747669,5.3307826132
Comoros,COM,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Congo Dem. Rep.,COD,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Congo Rep.,COG,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Costa Rica,CRI,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
