Classification Name,Classification Code,Country Name,Country Code,Time,Time Code,Cost of a healthy diet [CoHD]
Food Prices for Nutrition 3.0,FPN 3.0,Azerbaijan,AZE,2018,YR2018,2.93
Food Prices for Nutrition 3.0,FPN 3.0,Azerbaijan,AZE,2019,YR2019,3
Food Prices for Nutrition 3.0,FPN 3.0,Azerbaijan,AZE,2020,YR2020,3.09
Food Prices for Nutrition 3.0,FPN 3.0,Azerbaijan,AZE,2021,YR2021,3.28
Food Prices for Nutrition 3.0,FPN 3.0,Azerbaijan,AZE,2022,YR2022,3.74
Food Prices for Nutrition 3.0,FPN 3.0,"Bahamas, The",BHS,2017,YR2017,4.28
Food Prices for Nutrition 3.0,FPN 3.0,"Bahamas, The",BHS,2018,YR2018,4.39
Food Prices for Nutrition 3.0,FPN 3.0,"Bahamas, The",BHS,2019,YR2019,4.36
Food Prices for Nutrition 3.0,FPN 3.0,"Bahamas, The",BHS,2020,YR2020,4.49
Food Prices for Nutrition 3.0,FPN 3.0,"Bahamas, The",BHS,2021,YR2021,4.66
Food Prices for Nutrition 3.0,FPN 3.0,"Bahamas, The",BHS,2022,YR2022,5.41
Food Prices for Nutrition 3.0,FPN 3.0,Bahrain,BHR,2017,YR2017,3.07
Food Prices for Nutrition 3.0,FPN 3.0,Bahrain,BHR,2018,YR2018,3.15
Food Prices for Nutrition 3.0,FPN 3.0,Bahrain,BHR,2019,YR2019,3.25
Food Prices for Nutrition 3.0,FPN 3.0,Bahrain,BHR,2020,YR2020,3.48
Food Prices for Nutrition 3.0,FPN 3.0,Bahrain,BHR,2021,YR2021,3.67
Food Prices for Nutrition 3.0,FPN 3.0,Bahrain,BHR,2022,YR2022,4.22
Food Prices for Nutrition 3.0,FPN 3.0,Bangladesh,BGD,2017,YR2017,3.03
Food Prices for Nutrition 3.0,FPN 3.0,Bangladesh,BGD,2018,YR2018,3.13
Food Prices for Nutrition 3.0,FPN 3.0,Bangladesh,BGD,2019,YR2019,3.18
Food Prices for Nutrition 3.0,FPN 3.0,Bangladesh,BGD,2020,YR2020,3.23
Food Prices for Nutrition 3.0,FPN 3.0,Bangladesh,BGD,2021,YR2021,3.37
Food Prices for Nutrition 3.0,FPN 3.0,Bangladesh,BGD,2022,YR2022,3.64
Food Prices for Nutrition 3.0,FPN 3.0,Barbados,BRB,2017,YR2017,..
Food Prices for Nutrition 3.0,FPN 3.0,Barbados,BRB,2018,YR2018,..
Food Prices for Nutrition 3.0,FPN 3.0,Barbados,BRB,2019,YR2019,..
Food Prices for Nutrition 3.0,FPN 3.0,Barbados,BRB,2020,YR2020,..
Food Prices for Nutrition 3.0,FPN 3.0,Barbados,BRB,2021,YR2021,..
